,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8,ipo
112,112,477,477,477,BAH,Booz Allen Hamilton Corp,35.52,5310000000.0,2010.0,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/bah,,0
113,113,1431,1431,1431,HIW,Highwoods Properties Inc,52.89,5300000000.0,1994.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hiw,,0
114,114,2603,2603,2603,SRC,Spirit Realty Capital Inc,10.94,5290000000.0,2013.0,Consumer Services,Building operators,http://www.nasdaq.com/symbol/src,,0
115,115,139,139,139,AMH,American Homes 4 Rent,21.21,5060000000.0,2013.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/amh,,0
116,116,2540,2540,2540,SERV,ServiceMaster Global,37.53,5060000000.0,2014.0,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/serv,,0
117,117,755,755,755,CBD,Companhia Brasileira de Distribuicao,18.71,4970000000.0,1997.0,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/cbd,,0
118,118,1291,1291,1291,G,Genpact,23.79,4780000000.0,2007.0,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/g,,0
119,119,1081,1081,1081,EPR,EPR Properties,75.03,4780000000.0,1997.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/epr,,0
120,120,1372,1372,1372,HRB,H&R Block Inc,22.91,4750000000.0,,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/hrb,,0
121,121,3131,3131,3131,XPO,XPO Logistics,42.71,4740000000.0,,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/xpo,,0
122,122,824,824,824,CUBE,CubeSmart,26.3,4740000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cube,,0
123,123,669,669,669,CNK,Cinemark Holdings Inc,40.69,4730000000.0,2007.0,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/cnk,,0
124,124,3039,3039,3039,WRI,Weingarten Realty Investors,36.7,4700000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/wri,,0
125,125,2730,2730,2730,TGNA,TEGNA Inc,21.62,4640000000.0,,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/tgna,,0
126,126,1094,1094,1094,EQY,Equity One Inc,31.79,4610000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/eqy,,0
127,127,204,204,204,APLE,Apple Hospitality REIT Inc,20.32,4540000000.0,2015.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aple,,0
128,128,156,156,156,APU,AmeriGas Partners LP,48.11,4470000000.0,,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/apu,,0
129,129,856,856,856,DCT,DCT Industrial Trust Inc,48.61,4420000000.0,2006.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/dct,,0
130,130,2707,2707,2707,TCO,Taubman Centers Inc,71.65,4330000000.0,1992.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/tco,,0
131,131,3108,3108,3108,WSM,Williams-Sonoma,48.46,4260000000.0,,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/wsm,,0
132,132,1402,1402,1402,HTA,Healthcare Trust of America Inc,30.0,4250000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hta,,0
133,133,1453,1453,1453,HHC,Howard Hughes Corporation,105.33,4200000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hhc,,0
134,134,1823,1823,1823,MPW,Medical Properties Trust Inc,12.83,4110000000.0,2005.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mpw,,0
135,135,1980,1980,1980,NRZ,New Residential Investment Corp,16.1,4040000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/nrz,,0
136,136,1916,1916,1916,MSG,MSG Networks Inc,167.51,4010000000.0,2015.0,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/msg,,0
137,137,2473,2473,2473,R,Ryder System Inc,74.83,4000000000.0,,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/r,,0
138,138,2645,2645,2645,STOR,STORE Capital Corp,25.58,3990000000.0,2014.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/stor,,0
139,139,1089,1089,1089,EQC,Equity Commonwealth,31.36,3940000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/eqc,,0
140,140,529,529,529,CAB,Cabela's Inc,56.78,3890000000.0,2004.0,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/cab,,0
141,141,1725,1725,1725,LSI,Life Storage Inc,83.72,3880000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/lsi,,0
142,142,1335,1335,1335,GPT,Gramercy Property Trust,27.26,3830000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/gpt,,0
143,143,121,121,121,AMC,AMC Entertainment Holdings Inc,34.1,3760000000.0,2013.0,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/amc,,0
144,144,2162,2162,2162,OUT,OUTFRONT Media Inc,26.91,3710000000.0,2014.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/out,,0
145,145,2178,2178,2178,PGRE,Paramount Group Inc,16.72,3700000000.0,2014.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/pgre,,0
146,146,2485,2485,2485,SBH,Sally Beauty Holdings Inc,25.25,3620000000.0,,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/sbh,,0
147,147,2423,2423,2423,RPAI,Retail Properties of America Inc,15.22,3610000000.0,2012.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/rpai,,0
148,148,1685,1685,1685,LHO,LaSalle Hotel Properties,30.13,3590000000.0,1998.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/lho,,0
149,149,598,598,598,FUN,Cedar Fair,63.67,3580000000.0,1987.0,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/fun,,0
150,150,1401,1401,1401,HR,Healthcare Realty Trust Inc,30.74,3560000000.0,1993.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hr,,0
151,151,2394,2394,2394,RGC,Regal Entertainment Group,22.65,3550000000.0,2002.0,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/rgc,,0
152,152,530,530,530,CABO,Cable One Inc,613.43,3500000000.0,2015.0,Consumer Services,Television Services,http://www.nasdaq.com/symbol/cabo,,0
153,153,1648,1648,1648,KEX,Kirby Corp,63.95,3440000000.0,,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/kex,,0
154,154,3032,3032,3032,W,Wayfair Inc,39.88,3410000000.0,2014.0,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/w,,0
155,155,2384,2384,2384,RYN,Rayonier Inc,27.54,3380000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ryn,,0
156,156,803,803,803,CUZ,Cousins Properties Inc,8.58,3380000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cuz,,0
157,157,2701,2701,2701,SKT,Tanger Factory Outlet Centers,35.07,3370000000.0,1993.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/skt,,0
158,158,784,784,784,CXW,CoreCivic Inc,28.34,3330000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cxw,,0
159,159,639,639,639,CIM,Chimera Investment Corp,17.63,3310000000.0,2007.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cim,,0
160,160,1167,1167,1167,FR,First Industrial Realty Trust,28.01,3270000000.0,1994.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/fr,,0
161,161,3136,3136,3136,YELP,Yelp Inc,41.53,3260000000.0,2012.0,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/yelp,,0
162,162,2317,2317,2317,PSB,PS Business Parks Inc,120.27,3260000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/psb,,0
163,163,2668,2668,2668,SHO,Sunstone Hotel Investors Inc,14.78,3200000000.0,2004.0,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/sho,,0
164,164,2475,2475,2475,RHP,Ryman Hospitality Properties Inc,62.57,3190000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/rhp,,0
165,165,2230,2230,2230,PDM,Piedmont Office Realty Trust Inc,21.79,3160000000.0,,Consumer Services,Building operators,http://www.nasdaq.com/symbol/pdm,,0
